Report Number,Date Reported,Date of Occurrence,City,Latitude,Longitude,Crime Description,Clean Category,Victim Age,Victim Gender,Weapon Used,Crime Domain,Severity,Case Closed,Date Case Closed,Crime_Hour,Crime_DayOfWeek,Crime_Month,Is_Weekend,Weapon_Risk,Lat_Round,Lon_Round,Area_Crime_Count,Area_Avg_Severity,Risk_Score,Hotspot_Level,Crime_Time_Period
1,2020-01-02 00:00,2020-01-01 00:00:00,Ahmedabad,23.0225,72.5714,IDENTITY THEFT,Identity Theft,16,M,Blunt Object,Violent Crime,2,No,,0,Wednesday,1,0,3.0,23.022,72.571,1817.0,2.4446890478811225,728.1334067143645,High,Night
2,2020-01-01 19:00,2020-01-01 01:00:00,Chennai,13.0827,80.2707,HOMICIDE,Homicide,37,M,Poison,Other Crime,5,No,,1,Wednesday,1,0,2.0,13.083,80.271,2493.0,2.4091456077015643,998.3227436823104,High,Night
3,2020-01-02 05:00,2020-01-01 02:00:00,Ludhiana,30.9,75.8573,KIDNAPPING,Kidnapping,48,F,Blunt Object,Other Crime,4,No,,2,Wednesday,1,0,3.0,30.9,75.857,761.0,2.3955321944809462,305.71865965834434,High,Night
4,2020-01-01 05:00,2020-01-01 03:00:00,Pune,18.5204,73.8567,BURGLARY,Burglary,49,F,Firearm,Other Crime,3,Yes,2020-04-29 05:00,3,Wednesday,1,0,5.0,18.52,73.857,2212.0,2.3589511754068715,886.5076853526222,High,Night
5,2020-01-01 21:00,2020-01-01 04:00:00,Pune,18.5204,73.8567,VANDALISM,Vandalism,30,F,Other,Other Crime,2,Yes,2020-01-08 21:00,4,Wednesday,1,0,2.0,18.52,73.857,2212.0,2.3589511754068715,885.9076853526221,High,Night
6,2020-01-02 03:00,2020-01-01 05:00:00,Delhi,28.7041,77.1025,ASSAULT,Assault,16,M,Firearm,Violent Crime,5,Yes,2020-03-30 03:00,5,Wednesday,1,0,5.0,28.704,77.102,5400.0,2.385925925925926,2161.715777777778,,Morning
7,2020-01-01 16:00,2020-01-01 06:00:00,Chennai,13.0827,80.2707,VEHICLE - STOLEN,Other,64,F,Knife,Violent Crime,5,Yes,2020-03-24 16:00,6,Wednesday,1,0,3.0,13.083,80.271,2493.0,2.4091456077015643,998.5227436823104,High,Morning
8,2020-01-02 10:00,2020-01-01 07:00:00,Chennai,13.0827,80.2707,COUNTERFEITING,Other,78,X,Knife,Other Crime,1,No,,7,Wednesday,1,0,3.0,13.083,80.271,2493.0,2.4091456077015643,998.5227436823104,High,Morning
9,2020-01-04 03:00,2020-01-01 08:00:00,Mumbai,19.076,72.8777,EXTORTION,Other,41,X,Blunt Object,Other Crime,1,No,,8,Wednesday,1,0,3.0,19.076,72.878,4415.0,2.3966024915062287,1767.318980747452,,Morning
10,2020-01-03 07:00,2020-01-01 09:00:00,Chennai,13.0827,80.2707,PUBLIC INTOXICATION,Other,29,M,Knife,Other Crime,1,No,,9,Wednesday,1,0,3.0,13.083,80.271,2493.0,2.4091456077015643,998.5227436823104,High,Morning
11,2020-01-02 13:00,2020-01-01 10:00:00,Delhi,28.7041,77.1025,FRAUD,Other,71,M,Explosives,Other Crime,1,Yes,2020-02-01 13:00,10,Wednesday,1,0,2.0,28.704,77.102,5400.0,2.385925925925926,2161.115777777778,,Morning
12,2020-01-03 09:00,2020-01-01 11:00:00,Surat,21.1702,72.8311,IDENTITY THEFT,Identity Theft,26,M,Poison,Violent Crime,2,No,,11,Wednesday,1,0,2.0,21.17,72.831,1111.0,2.2997299729973,445.4899189918992,High,Morning
13,2020-01-01 16:00,2020-01-01 12:00:00,Visakhapatnam,17.6868,83.2185,FRAUD,Other,36,F,Poison,Other Crime,1,Yes,2020-02-29 16:00,12,Wednesday,1,0,2.0,17.687,83.218,728.0,2.342032967032967,292.30260989010986,High,Afternoon
14,2020-01-02 22:00,2020-01-01 13:00:00,Mumbai,19.076,72.8777,ASSAULT,Assault,32,X,,Violent Crime,5,No,,13,Wednesday,1,0,2.0,19.076,72.878,4415.0,2.3966024915062287,1767.118980747452,,Afternoon
15,2020-01-02 00:00,2020-01-01 14:00:00,Bangalore,12.9716,77.5946,SEXUAL ASSAULT,Assault,77,F,,Violent Crime,5,No,,14,Wednesday,1,0,2.0,12.972,77.595,3588.0,2.38015607580825,1436.3140468227425,,Afternoon
16,2020-01-02 07:00,2020-01-01 15:00:00,Kolkata,22.5726,88.3639,COUNTERFEITING,Other,51,F,Explosives,Other Crime,1,Yes,2020-03-30 07:00,15,Wednesday,1,0,2.0,22.573,88.364,2518.0,2.3669579030976964,1008.3100873709292,,Afternoon
17,2020-01-03 07:00,2020-01-01 16:00:00,Ghaziabad,28.6692,77.4538,DRUG OFFENSE,Other,61,M,Poison,Other Crime,1,No,,16,Wednesday,1,0,2.0,28.669,77.454,704.0,2.375,282.7125,High,Afternoon
18,2020-01-04 02:00,2020-01-01 17:00:00,Pune,18.5204,73.8567,ARSON,Other,64,F,Other,Fire Accident,1,No,,17,Wednesday,1,0,2.0,18.52,73.857,2212.0,2.3589511754068715,885.9076853526221,High,Evening
